APA Tenant,HasPay,Segment,Industry,Sub Industry,ERP,Medius Territory,Sum of Employees,Capture License Type,Sum of APA License utilization,AP Automation,Sum of ACV (USD),Sum of Number of Locations,ActivatedModules,ActiveSubsidiaries,ActiveUsers,AvgCommentsPerDocument,AvgCompletedTasksPerWeek,AvgInvoicesPerMonth,AvgLinesPerInvoice,AvgOverdueDays,DistinctLanguages,AvgTimeToCompleteTask,TotalArchivedInvoices,OverdueInvoiceCount,MinInvoiceDate,RootCompanyCreatedTimestamp,Account Description
bunzl,0,Enterprise,Logistics / Transportation,Freight & Logistics Services,Monitor; MS Dynamics 365 for Fi&Op; MS Dynamics AX,Medius Benelux,24528.0,Medius Capture,79.0,True,209969.88,12.0,9,20,631,2.008202116,42119.72222,19712.92308,3.309551117,25.694875,7,1.744632,235590,37411,2/26/2020 13:40,8/27/2019 4:57,"Bunzl are a successful international distribution and outsourcing group with operations across the Americas, Europe and Australasia. We support businesses all over the world with a variety of products that are essential for our customers in the successfu"
bunzlapac,0,Mid-Market,Holding Companies,'-,Infor System21,Medius Australia,946.0,Medius Capture,59.0,True,112718.01,5.0,6,5,155,1.73269849,17774.27778,9431.615384,6.582850716,43.275236,1,1.763371,118554,16157,2/23/2022 22:37,7/23/2021 9:28,"Bunzl Australasia is a holding company that consists of four business units Bunzl Australia, Bunzl New Zealand, Bunzl Safety, and Bunzl Specialty Healthcare. They are based Mulgrave, Australia."
buva,0,Mid-Market,Financial Services,Investment Banking,MS Dynamics AX,Medius Benelux,201.0,Medius Capture,74.0,True,29966.28,1.0,7,4,65,1.905843257,4900.981132,2319.615384,1.353294612,24.12645,2,1.688727,29525,1724,7/15/2020 7:22,5/12/2020 8:33,"BUVA is ontwikkelaar, fabrikant en leverancier van hang- en sluitwerk, ventilatiesystemen, hardglas ramen en profielen."
bws,0,Mid-Market,Professional Services,Management Consulting,MS Dynamics AX,Medius Denmark,16.0,RSO Bulk,97.0,True,471111.83,2.0,7,59,2540,1.514333437,108756.0185,65475.92308,1.375148506,39.077993,5,2.117989,822822,108791,11/26/2018 10:40,10/19/2017 7:14,Blue Water NEWS is a company that operates in the Logistics and Supply Chain industry. It employs 11-20 people and has $1M-$5M of revenue. The company is headquartered in Denmark.
bygghemma,0,Mid-Market,Retail,Home Improvement & Hardware Retail,MS Dynamics 365 for Fi&Op; MS Dynamics AX,Medius Sweden,300.0,RSI Perpetual-Bulk,51.0,True,133060.16,2.0,6,11,103,1.416680348,1969.962962,761.230769,1.009395003,19.595159,3,1.589141,9257,2727,9/9/2019 11:39,5/7/2019 10:48,"Bygghemma Group is an e-commerce company that offers a broad range of well-known brands of building and interior design products. Bygghemma.se was founded in 2006 and has expanded into a Pan-Nordic Group with e-stores in Sweden (www.bygghemma.se, www.bad"
byggpartner,0,Mid-Market,Construction,Commercial & Residential Construction,Visma.net,Medius Norway,17.0,Medius Capture,25.0,True,1470.86,2.0,6,2,23,1.178378378,484.981481,229.923076,1.00201005,7.85,3,1.273111,2995,180,4/25/2023 11:13,3/7/2023 8:57,"ByggPartner As is a company that operates in the Construction industry. It employs 11-20 people and has $1M-$5M of revenue. The company is headquartered in Nodeland, Vest-Agder, Norway."
byggplast,0,Mid-Market,Manufacturing - Non-Durables,Boats & Submarines,Infor M3,Medius Sweden,96.0,Medius Capture,76.0,True,16128.97,1.0,7,2,33,1.205724508,1281.166666,611.923076,3.724492386,21.541501,2,1.199447,7604,506,11/20/2020 12:31,10/21/2020 15:47,"Byggplast & Båtprylar Sverige is a company that operates in the Maritime industry. It employs 51-100 people and has $1M-$5M of revenue. The company is headquartered in Segeltorp, Stockholm, Sweden."
byggsystemer,0,Mid-Market,Agriculture & Forestry,'-,MS Dynamics NAV,Medius Norway,924.0,'-,72.0,False,0.0,2.0,8,6,68,1.424473604,1328.611111,680.615384,3.415716241,34.023483,2,1.820134,7153,511,12/4/2017 11:47,2/16/2017 7:14,"Optimera offers sale and distribution of building materials. It provides fuse & lock, project kitchen, logistics, doors & windows, and more. The company was formed in 1993 and is headquartered in Oslo, Norway. Optimera is a subsidiary of Saint-Go"
cacique,1,Mid-Market,Manufacturing - Non-Durables,Food & Beverage,MS Dynamics 365 for Fi&Op,Medius North America,298.0,Medius Capture,53.0,True,94299.96,1.0,12,3,107,2.047627005,3018.259259,1402.076923,4.596976444,47.659639,1,1.523256,15950,2941,7/7/2023 17:05,4/6/2023 19:25,"Founded in 1973 and headquartered in Monrovia, California, Cacique Inc. is a purveyor of mexican cheeses, creams, yogurts, and chorizos."
calgiant,0,Mid-Market,Agriculture & Forestry,Crops,Famous ERP,Medius North America,484.0,Medius Capture,57.0,True,30923.04,10.0,6,13,122,1.965909091,1578.0625,534.6,1.000375375,11.225806,1,0.869414,2455,1488,11/25/2024 17:26,7/2/2024 17:32,"Founded in 1970 and headquartered in Watsonville, California, California Giant grows and ships berries. The Company offers strawberries, blueberries, blackberries, and raspberries."
camfilap,0,Mid-Market,Retail,Office Products Retail & Distribution,'-,Medius Australia,263.0,Medius Capture,57.0,True,45026.45,2.0,6,10,59,1.122994652,2876.777777,1456.846153,2.983809164,31.357874,2,1.565195,17182,2051,12/27/2021 4:13,9/16/2021 3:36,Camfil Malaysia Sdn Bhd is a company that operates in the Retail industry. It employs 251-500 people and has $50M-$100M of revenue. The company is headquartered in Malaysia.
camurus,0,Mid-Market,Manufacturing - Non-Durables,Pharmaceuticals,MS Dynamics 365 for Fi&Op,Medius Sweden,218.0,Medius Capture,52.0,True,62250.93,2.0,8,13,299,1.322685185,1719.18,657.916666,1.298012373,22.718776,2,1.101544,7681,1177,11/22/2022 11:29,9/19/2022 6:55,"Camurus AB (publ), a pharmaceutical company, develops and commercializes medicines for severe and chronic conditions in Europe, Australia, the United States, Japan, and internationally. The company offers Buvidal, a buprenorphine injection for the treatm"
canadagoose,0,Mid-Market,Retail,Apparel & Accessories Retail,MS Dynamics 365 for Fi&Op,Medius North America,4462.0,Medius Capture,54.0,True,109987.56,5.0,10,21,725,1.843593027,6684.037037,2841.692307,1.024813326,49.532384,2,3.938484,32444,6114,4/1/2019 13:01,10/17/2018 12:38,"Canada Goose was founded in 1957. This company provides the manufacturing and retailing of outdoor wear and accessories. Their headquarters are located in Toronto, Ontario, Canada."
candypeople,0,Mid-Market,Retail,Grocery Retail,'-,Medius Sweden,19.0,Medius Capture,61.0,True,0.0,1.0,6,2,19,1.62320442,309.796296,142.923076,1.001633097,5.43979,2,1.347079,1819,191,1/10/2023 12:05,11/15/2022 15:29,Vi brinner för det svenska lösgodiset!Candy People AB grundades i Malmö 1982. Från att ha varit en lokal aktör agerar Candy People idag såväl på den nationella som på den internationella marknaden. Vi arbetar hårt för kontinuerlig utveckling och för att
capitallumber,0,Mid-Market,Retail,Home Improvement & Hardware Retail,Custom ERP,Medius North America,283.0,Medius Capture,34.0,True,94374.0,12.0,11,2,49,1.581625183,2984.529411,1375.333333,3.102578703,11.313763,1,0.244984,11323,2572,7/24/2024 16:42,12/26/2023 18:13,"Capital Lumber Company, founded in 1948 and is based in Phoenix, Arizona, distributes specialty building materials for home centers and pro lumber yards throughout the Western. The company offers products in the categories of decking, engineered wood, fa"
carbomax,0,Mid-Market,Minerals & Mining,'-,Infor M3,Medius Sweden,29.0,RSO Bulk,95.0,True,16425.25,1.0,8,2,28,1.084536082,878.333333,445.923076,1.009919944,2.450331,2,0.6908,5696,302,10/24/2018 10:50,3/8/2018 6:41,"Carbomax AB mainly sell raw materials for steel plants and foundries in the Nordic countries. We are fully equipped for the handling of our products and offer various services like, drying, crushing, screening, bagging, warehousing, etc of both carbons a"
careofcarl,0,Mid-Market,Retail,Apparel & Accessories Retail,MS Dynamics NAV,Medius Sweden,66.0,RSO Bulk,69.0,True,21023.4,1.0,7,2,42,1.158102767,1623.259259,835.230769,5.997199403,22.535697,3,1.636733,10415,2115,6/19/2018 7:55,4/18/2018 5:32,"Care of Carl - herrklder online, mrkesklder för mn Vlkommen till Care of Carl! r du intresserad av klder och stil har du kommit till rtt butik. Vi brinner för stil och kvalitet vilket genomsyrar allt vi gör. Hos oss finner du bde moderna och klassiska he"
caroliner,0,Mid-Market,Consumer Products,Automotive Service & Collision Repair,Jeeves,Medius Sweden,386.0,ScanCloud,79.0,True,60157.57,3.0,9,3,142,1.834788766,3377.018518,1645.461538,2.918888366,19.540252,3,1.360962,20499,1031,9/15/2017 13:38,1/26/2017 9:20,Car-O-Liner is a brand of Car-O-Liner Group. The group is headquartered in Sweden and specializes in manufacturing of collision repair and wheel alignment systems.
carringtontextiles,0,Mid-Market,Manufacturing - Non-Durables,Textiles & Apparel,Iptor DC-1,Medius UK,320.0,Medius Capture,91.0,True,43381.09,1.0,8,4,57,1.484782609,1870.407407,733.923076,1.53280446,23.851505,1,1.145293,9194,1495,6/10/2021 7:05,4/13/2021 9:12,"We specialise in the development of fabrics and finishes with exceptional performance in the most demanding workplace environments. As a result, we have a reputation for innovation, and continue to introduce exciting breakthroughs. New ideas to meet the"
carusohomes,0,Mid-Market,Construction,Commercial & Residential Construction,Sage 300,Medius North America,104.0,Medius Capture,64.0,True,49097.04,18.0,6,71,87,1.33605948,2106.759259,935.230769,1.0001753,60.852419,1,2.052225,10069,2873,1/10/2024 18:10,8/17/2022 13:09,Caruso Homes builds new luxury homes in communities in Maryland and North Carolina. Build a New Home On Your Lot or Ours. Move in now homes available.
cathedral,1,Mid-Market,Energy / Utilities,"Electricity, Oil & Gas",MS Dynamics GP,Medius North America,155.0,Medius Capture,116.0,True,59469.0,5.0,10,3,70,1.226248343,5858.055555,2839.307692,2.713564275,20.538049,1,2.262415,35401,11774,2/23/2024 17:07,8/1/2023 17:06,"Founded in 1998, Cathedral Energy Services together with its subsidiary, Cathedral Energy Services Inc., provides directional drilling services to the oil and natural gas companies in western Canada and the United States. It offers horizontal and directi"
caymanchemical,0,Mid-Market,Professional Services,Research & Development,MS Dynamics AX,Medius North America,317.0,Medius Capture,79.0,True,52005.96,1.0,9,3,349,1.193398958,1890.574074,969.76923,1.94185766,20.143195,2,1.918038,11814,2954,5/31/2019 13:05,3/13/2019 8:59,"Cayman Chemical was founded in 1980. This company provides test and measurement equipment for the healthcare and research/development industries. Their headquarters are located in Ann Arbor, Michigan."
cb,0,Mid-Market,Manufacturing - Non-Durables,"Plastic, Packaging & Containers",Oracle NetSuite,Medius North America,450.0,Medius Capture,12.0,True,48000.0,2.0,7,3,33,1.218148148,6133.75,2296.666666,1.919436783,12.90196,1,6.667618,3715,255,1/16/2025 12:55,7/26/2024 17:48,Canadian Bearings Ltd was founded in 1983. The Company's line of business includes the wholesale distribution of miscellaneous industrial supplies.
cebeo,0,Mid-Market,Retail,Home Improvement & Hardware Retail,Edison; IBM AS400; SAP S/4 HANA,Medius Benelux,750.0,Medius Capture,67.0,True,151734.41,1.0,9,4,17,,,,,20.443534,1,,0,0,,10/10/2023 7:41,"Cebeo from Waregem was founded in 1922 in Kortrijk by Charles Bultiauw and specializes in the distribution of electrical equipment, technical services and solutions for the residential, tertiary and industrial sectors. Our history is characterized by org"
cellavision,1,Mid-Market,Manufacturing - Non-Durables,Medical Devices & Equipment,Jeeves,Medius Sweden,223.0,Medius Capture,71.0,True,15183.42,4.0,17,2,79,1.689947781,1036.571428,333.181818,1.776805252,16.453271,2,1.204494,3198,428,5/27/2024 7:26,4/29/2024 17:10,"CellaVision is an innovative, global medical technology company that develops and sells its own leading systems for routine analysis of blood and other body fluids in health care services. The products replaces manual laboratory work, and secure and supp"
cementech,0,Mid-Market,Manufacturing - Non-Durables,Building Materials,SAP,Medius North America,100.0,Medius Capture,85.0,True,29037.0,2.0,8,2,33,1.434742647,2447.866666,1124.75,1.785508531,9.067375,1,1.510137,3617,564,12/6/2024 16:17,4/18/2024 16:29,"Cemen Tech, Inc. has 50 years of manufacturing and engineering experience in the volumetric mixing industry. As the industry leader, the company strives to provide the highest quality concrete mixers to its customers. Cemen Tech currently operates in ove"
ceos,0,Mid-Market,Retail,Home Improvement & Hardware Retail,Infor M3; MS Dynamics 365 Business Central,Medius Sweden,64.0,Medius Capture,58.0,True,11882.63,1.0,8,3,50,1.334101382,1536.407407,665.461538,1.944412073,17.592307,2,1.801567,8774,650,11/6/2019 7:12,6/4/2019 6:15,"Ceos Ab is a company that operates in the Retail industry. It employs 51-100 people and has $5M-$10M of revenue. The company is headquartered in Forserum, Joenkoeping, Sweden."
cevalogistics,0,Enterprise,Logistics / Transportation,Freight & Logistics Services,Oracle JD Edwards EnterpriseOne,Medius UK,110000.0,'-,49.0,True,733189.66,4.0,7,375,2227,1.926487735,110462.2037,60599.0,1.194397139,55.810778,5,2.016669,745475,160405,12/15/2021 13:11,5/27/2021 15:22,"CEVA Logistics is a global asset-light supply chain management company. It designs and implements freight forwarding, contract logistics, transportation management, and distribution management solutions for large and medium-size national and multinationa"
chc,0,Mid-Market,Financial Services,Banking,Oracle,Medius UK,394.0,Medius Capture,67.0,True,52723.23,3.0,13,2,143,,,,,20.443534,1,,0,0,,4/5/2024 13:48,"Founded in 1672, C. Hoare is a financial establishment that provides trust and estate planning, tresury and foreign exchange, and account depositing. C. Hoare is located in the United Kingdom."
chprsl,0,Mid-Market,Travel & Tourism,Fitness & Dance Facilities,Adept,Medius Australia,276.0,Medius Capture,84.0,True,23865.39,1.0,8,7,34,1.091954023,2099.24074,978.692307,3.851048618,5.717165,1,0.303115,12595,3175,8/20/2020 7:32,11/30/2018 5:04,"Canterbury Hurlstone Park RSL Club was established in 1947. The club has over 30,000 members and employs 210 staff. The club promotes the responsible service of alcohol and gaming. Canterbury Hurlstone Park RSL is part of the BETSAFE group of clubs. Loca"
christianberner,0,Mid-Market,Holding Companies,'-,Epicor iScala,Medius Sweden,112.0,Medius Capture,82.0,True,33169.5,2.0,9,14,150,1.99738122,3716.462962,1716.461538,2.173883442,13.873362,4,0.959079,20534,1145,4/26/2019 9:40,3/20/2019 11:52,"Christian Berner AB is a company that operates in the Financial Services industry. It employs 101-250 people and has $50M-$100M of revenue. The company is headquartered in Molnlycke, Vaestra Goetaland, Sweden."
chromaflo,0,Mid-Market,Manufacturing - Non-Durables,Chemicals & Related Products,SAP,Medius North America,665.0,Medius Capture,50.0,True,50923.2,2.0,6,16,101,1.273079406,3331.925925,1530.692307,1.429451665,22.462204,4,2.737366,15952,4273,4/4/2022 10:49,8/16/2021 17:05,"Founded in 2012, Chromaflo manufactures colorants and pigment dispersions for architectural, industrial, and thermoset applications. The company is located in Ashtabula, Ohio."
circura,0,Mid-Market,'-,'-,Visma.net,Medius Sweden,288.0,Medius Capture,94.0,True,11222.12,2.0,8,17,232,1.484098001,16688.53704,6357.307692,1.646153285,11.528406,2,1.235777,78058,4154,3/4/2024 7:51,2/12/2024 6:55,'-
citymail,0,Mid-Market,Logistics / Transportation,Freight & Logistics Services,MS Dynamics NAV,Medius Sweden,549.0,RSO Bulk,75.0,True,22860.67,2.0,8,2,365,1.215088283,3876.5,1610.153846,4.185912517,10.720085,2,1.587891,19588,468,4/26/2019 3:55,1/11/2019 15:34,"Bring is a complete transport supplier specialized in cargo warehousing, logistics, and transport solutions, providing efficient logistics solutions that have the least possible environmental impact, whether by ship or road, adapted to meet the various n"
cjautomotive,0,Mid-Market,Consumer Products,Automotive Service & Collision Repair,Infor M3,Medius Sweden,112.0,RSO Bulk,68.0,True,22220.53,3.0,7,2,72,1.335483871,1457.351851,839.083333,1.645703802,19.570637,2,0.86906,9960,361,11/13/2018 12:25,8/16/2018 14:59,"CJ Automotive (CJA) is a leading company in design and manufacturing of pedal systems and modules for passenger cars, vans and heavy trucks."
clarksonsplatou,0,Mid-Market,Manufacturing - Non-Durables,Boats & Submarines,Workday,Medius Norway,98.0,Medius Capture,39.0,True,19376.95,2.0,7,17,222,1.627408994,736.351851,320.076923,3.543722521,15.572261,2,1.408766,3974,858,12/4/2017 13:20,7/5/2017 9:24,"RS Platou ASA is a company that operates in the Maritime industry. It employs 51-100 people and has $25M-$50M of revenue. The company is headquartered in Houston, Texas."
clearon,0,Mid-Market,Telecom / Communication Services,"Internet Service Providers, Website Hosting & Internet-related Services",Visma Business,Medius Sweden,12.0,Medius Capture,56.0,True,3437.48,1.0,10,4,73,1.314341847,378.814814,177.692307,1.000899281,11.9,2,1.502889,2233,120,4/9/2018 12:50,2/20/2018 9:06,"Kuponginlösen AB is a company that operates in the Internet industry. It employs 11-20 people and has $1M-$5M of revenue. The company is headquartered in Stockholm, Stockholm, Sweden."
clubmarconi,0,Mid-Market,Travel & Tourism,Sports Teams & Leagues,'-,Medius Australia,301.0,Medius Capture,79.0,True,23520.59,2.0,9,4,29,1.558333333,1627.777777,642.538461,3.82437189,9.827277,1,0.649714,7882,1789,7/24/2019 6:31,11/30/2018 5:01,"Club Marconi is subject to the provisions of the Privacy Act 1988. The Act contains 10 National Privacy Principles that set standards for the handling of personal information. The Club has a commitment to privacy and the safeguarding of member, visitor a"
clydeinc,0,Mid-Market,Construction,Civil Engineering Construction,MS Dynamics,Medius North America,5000.0,Medius Capture,25.0,True,201820.56,4.0,10,15,568,2.330506193,9809.095238,3935.666666,1.33993119,24.629527,1,1.251196,20237,9469,10/24/2024 15:45,2/21/2024 19:33,"Clyde Companies, founded in 1997 and headquartered in Orem, Utah, provides various construction services and products through its subsidiaries."
cmcbiologics,0,Mid-Market,Manufacturing - Non-Durables,Pharmaceuticals,MS Dynamics AX,Medius Denmark,2500.0,Medius Capture,98.0,True,71918.44,3.0,10,5,1019,2.376558945,9217.796296,3315.615384,1.495226986,27.328787,4,4.340302,34268,11439,6/9/2015 14:27,11/12/2014 6:48,"Established in 2007, AGC Biologics is headquartered in Bothell, Washington. They manufacture protein-based therapeutics, from pre-clinical to commercial production, using mammalian and microbial production systems."
cobham,0,Mid-Market,Professional Services,Information & Document Management,Oracle EBS,Medius North America,89.0,Medius Capture,76.0,True,64932.0,1.0,9,2,111,2.414156258,4463.037037,2273.538461,1.513588013,57.12085,1,1.907245,26641,3103,3/10/2017 21:09,8/30/2016 5:24,"Carleton Life Support Systems Inc is a company that operates in the Medical Devices industry. It employs 51-100 people and has $25M-$50M of revenue. The company is headquartered in Davenport, Iowa."
cobhamsatcom,0,Mid-Market,Holding Companies,'-,Infor LN (Baan),Medius Denmark,1881.0,Medius Capture,50.0,True,47647.66,20.0,11,3,390,1.594493475,3671.75862,1161.25,1.673020368,40.852512,1,2.358352,7762,2468,8/26/2024 11:59,1/13/2023 13:08,"Cobham is a global supplier of technology and services to the commercial, defense, and security markets. Their products include wireless, audio, video, and data communications, including satellite communications; defense electronics; air-to-air refueling"
columbiadistributing,0,Mid-Market,Logistics / Transportation,Freight & Logistics Services,MS Dynamics AX; VIP,Medius North America,3000.0,Medius Capture,68.0,True,151767.96,6.0,8,2,190,1.224223947,15029.35185,6530.076923,4.154768642,12.486175,1,1.03759,82441,16167,10/16/2020 19:41,4/21/2020 16:28,"Founded in 1935, Columbia Distributing distributes alcoholic and non-alcoholic beverages to suppliers, retailers, and restaurateurs in the Pacific Northwest. They are headquartered in Portland, Oregon."
columbus,0,Mid-Market,Services,'-,Infor M3,Medius Sweden,9.0,Medius Capture,67.0,True,14581.81,1.0,9,10,462,1.695823928,3136.111111,1162.307692,1.129989694,26.361662,5,1.492739,13696,2671,4/17/2020 7:55,4/1/2019 6:35,"Columbus IT Partner USA Inc is a company that operates in the Financial Services industry. It employs 6-10 people and has $0M-$1M of revenue. The company is headquartered in Stamford, Connecticut."
componenta,0,Mid-Market,Manufacturing - Non-Durables,Automotive Parts,SAP,Medius Sweden,615.0,Medius Capture,96.0,True,33164.11,8.0,8,6,153,1.255694248,4397.685185,2288.0,1.111268795,11.452891,4,1.508208,24099,1539,5/18/2020 5:26,1/24/2018 5:24,"Founded in 1820, Componenta together with its subsidiaries provides cast iron components in Sweden, Finland, Benelux countries, Germany, other European countries, and internationally. The company offers non-machined, machined, and painted iron cast compo"
conmed,0,Mid-Market,Manufacturing - Non-Durables,Medical Devices & Equipment,Oracle,Medius Benelux,4000.0,Medius Capture,23.0,True,129833.22,14.0,9,16,168,1.487599646,3011.851851,1283.615384,1.0036339,24.738528,4,1.143762,15906,5775,4/4/2023 14:10,8/23/2022 11:31,"Founded in 1970, CONMED is a global medical technology company that specializes in the development and sale of surgical and patient monitoring products and services that allow physician customers to deliver high quality care and as a result, enhanced cli"
constructionresources,1,Mid-Market,Retail,Home Improvement & Hardware Retail,Syspro,Medius North America,746.0,Medius Capture,78.0,True,151628.04,10.0,8,2,146,1.782102583,8607.666666,4360.923076,2.518973255,60.809278,1,3.066397,50684,6596,5/10/2022 18:04,3/18/2022 15:05,"Construction Resources is the combination of two owner-operated distributors to home builders in the Southeast region of the United States. Builder Specialties, Inc. (BSI) is a distributor and installer of appliances, garage doors, hearth products and li"
cook,0,Mid-Market,Food Processing,Grocery Retail,Other,Medius UK,1131.0,Medius Capture,121.0,True,37924.22,6.0,11,2,247,1.57673144,7474.625,3534.375,2.298620542,58.720513,1,6.223432,19593,3349,8/14/2024 16:03,2/19/2024 9:31,Cook (officially Cook Trading Ltd) is a manufacturer and retailer of frozen ready meals founded in 1997 by Edward Perry and Dale Penfold and based in Sittingbourne. Their founding statement is to 'cook using the same ingredients and techniques you wo
coolinvestments,0,Mid-Market,Financial Services,Venture Capital & Private Equity,SAP,Medius Benelux,21.0,Medius Capture,81.0,True,19290.51,1.0,6,6,72,1.815006468,1975.547169,836.307692,1.000472545,32.928678,3,1.814704,10237,4010,3/5/2024 8:21,10/26/2022 7:33,"Cool Investments is a family owned Group with several fashion retail and wholesale formats, online e-commerce platforms, real estate portfolios and (in)direct investments. The Group originated from the CoolCat retail format which was established by Rolan"
coopvarmland,0,Mid-Market,Retail,'-,Infor M3,Medius Sweden,1000.0,Medius Capture,51.0,True,42525.0,1.0,9,4,162,1.212868217,6692.759259,2856.153846,1.000081956,13.267352,2,1.287315,35769,2723,1/23/2024 9:48,1/4/2024 17:46,"Konsum Värmland Ekonomisk Förening retails food products. The company owns and operates a chain of supermarkets and food stores. Konsum Värmland Ekonomisk Förening was founded in 1966 and is based in Karlstad, Sweden."
coopvast,0,Mid-Market,Non-Profit,'-,Custom ERP,Medius Sweden,15.0,'-,95.0,True,143495.72,2.0,8,5,524,1.435035953,20361.68519,11516.38462,4.687025978,22.040366,4,2.085768,148353,5896,10/3/2016 11:30,6/23/2016 9:45,'-
copiax,0,Mid-Market,Manufacturing - Non-Durables,'-,Visma Business,Medius Sweden,59.0,Medius Capture,95.0,True,0.0,1.0,9,2,32,1.506043956,5143.555555,2897.076923,2.814988916,3.106733,2,0.830493,34967,14822,10/7/2019 6:41,7/5/2019 7:54,"Copiax AB is a company that operates in the Wholesale industry. It employs 51-100 people and has $10M-$25M of revenue. The company is headquartered in Kungens Kurva, Stockholm, Sweden."
coram,0,Mid-Market,Financial Services,Banking,Infor LN (Baan),Medius Benelux,636.0,Medius Capture,96.0,True,24609.1,2.0,6,12,54,1.798918919,2376.222222,806.76923,2.287748443,48.218791,2,1.635889,9480,3012,1/30/2023 8:10,1/26/2022 8:36,"Coram International in Geldrop, is a family business owned by the Van Kempen family and it is the parent company of a number of well-known international brands in bathroom design, including Geesa, Sealskin and Tiger. Coram International is also active in"
corilus,0,Enterprise,Professional Services,Custom Software & IT Services,Oracle NetSuite; Venice,Medius Benelux,14000.0,Medius Capture,89.0,True,29040.83,2.0,9,10,86,1.735760423,1803.0,766.153846,2.247478992,39.210934,3,3.975284,8999,4774,5/19/2021 12:59,10/29/2020 16:27,"Axians is a brand of VINCI Energies. The company provides solutions for designing, implementing and operating their information communication technology (ICT) infrastructure. These solutions include customized software, hardware and services for various"
crateandbarrel,0,Enterprise,Retail,Furniture,PeopleSoft,Medius North America,8000.0,Medius Capture,90.0,True,54875.04,8.0,9,3,415,1.385224274,6150.981481,3551.461538,1.036116019,69.531535,1,2.031551,44779,6786,7/30/2020 13:40,3/23/2019 10:24,"Founded in 1962 and headquartered in Naperville, Illinois. Crate & Barrel is a chain of retail stores in US and Canada and is a member of The Otto Group. The company specializes in housewares, furniture, and home accessories."
credentia,0,Mid-Market,Construction,Commercial & Residential Construction,Visma.net,Medius Sweden,69.0,Medius Capture,54.0,True,3836.98,1.0,7,7,64,1.571962249,2387.87037,815.538461,1.909593744,11.874884,2,1.306449,10501,1079,10/19/2020 7:20,6/15/2020 9:56,"Credentia AB is a company that operates in the Construction industry. It employs 51-100 people and has $10M-$25M of revenue. The company is headquartered in Norrtälje, Stockholm, Sweden."
crg,0,Mid-Market,Retail,Apparel & Accessories Retail,MS Dynamics 365 for Fi&Op,Medius Benelux,345.0,Medius Capture,3.0,True,48634.0,2.0,7,8,66,1.938416422,290.814814,111.923076,2.267291066,29.779503,2,3.275244,1381,644,8/9/2022 7:47,4/14/2022 8:30,"JBC utilizes Checkpoint's Checknet software platform to order RFID tags. Approximately 90 percent of the tags used are specialized labels sewn into garments, while the remaining labels are affixed to garment hangtags. The company is using four differ"
csafe,1,Mid-Market,Logistics / Transportation,Freight & Logistics Services,Sage 100; Sage X3,Medius North America,737.0,Medius Capture,39.0,True,79032.0,2.0,11,5,412,1.796533437,4516.722222,2111.692307,2.059655275,42.913004,1,1.483714,23390,4483,7/9/2023 16:05,11/16/2022 6:44,"CSafe Global provides end-to-end thermal shipping solutions to the pharmaceutical and life science industries worldwide. Using its proprietary, fully-integrated Artificial Intelligence capability, CSafe ensures containers are available when and where cus"
csm,0,Mid-Market,Real Estate / Property Management,Commercial & Residential Construction,Sage 300 ERP,Medius North America,2000.0,'-,0.0,False,9600.0,18.0,5,3,588,,,,1.0,20.443534,1,,0,0,4/1/2016 13:12,12/4/2015 7:55,"CSM Corporation is a hospitality company. It offers a wide range of properties including hotels, commercial real estate, and apartment communities. The company was founded in 1976 and is headquartered in Minneapolis, Minnesota."
ctmlyng,0,Mid-Market,Construction,Commercial & Residential Construction,MS Dynamics 365 Business Central,Medius Norway,116.0,Medius Capture,40.0,True,13222.95,2.0,6,2,38,1.273314204,751.351851,353.076923,1.969710272,20.186274,2,0.994624,4024,306,3/27/2023 8:45,5/25/2022 10:39,"CTM Lyng AS is Norway's leading manufacturer and supplier of security products for the home, assistive technology, energy efficiency, and light and heating control for all building types under the Mkomfy, mTouch, Microsafe and Centrol brands. We dist"
ctscorp,0,Mid-Market,Manufacturing - Non-Durables,Electronics,SAP S/4 HANA,Medius North America,4081.0,Medius Capture,10.0,True,86915.04,13.0,7,8,164,1.331210191,1858.222222,857.444444,2.0876188,20.557364,2,1.198155,4981,1290,7/11/2024 7:14,5/8/2024 16:38,"Founded in 1896, CTS Corporation (NYSE: CTS) is a leading designer and manufacturer of products that Sense, Connect, and Move. The company manufactures sensors, actuators, and electronic components in North America, Europe, and Asia. CTS provides solutio"
dabella,1,Mid-Market,Construction,Commercial & Residential Construction,Sage Intacct,Medius North America,1100.0,Medius Capture,98.0,True,148118.04,6.0,11,9,67,1.698074716,13386.55556,6308.307692,1.067946423,14.874438,1,0.979414,74735,6228,6/5/2023 17:06,3/24/2023 13:33,"Founded in 2011, DaBella is the recognized leader in home improvement services, building lasting value in roofing, siding, windows, and baths. DaBella is headquartered in Hillsboro, Oregon."
dahl,0,Mid-Market,Manufacturing - Non-Durables,Building Materials,Infor M3,Medius Sweden,743.0,Medius Capture,68.0,True,301999.84,1.0,7,9,1925,2.357309756,75665.51852,36095.30769,2.175373743,26.753868,2,1.742647,446418,22102,1/17/2022 12:45,4/15/2021 5:51,Dahl vvs butik e-handel DahlCenter VVS-Produkter VA-Produkter.
